Epochs	lr	train_loss	valid_loss	valid_accuracy	auc
0	0.00020000	14.1155	5.3087	0.4474	nan
1	0.00019995	14.6063	0.2095	0.4684	nan
2	0.00019980	14.5444	0.1983	0.5053	nan
3	0.00019956	14.6781	0.2011	0.5368	nan
4	0.00019921	14.2291	0.1999	0.6000	nan
5	0.00019877	14.5970	0.2036	0.5737	nan
6	0.00019823	14.4192	0.1973	0.5947	nan
7	0.00019759	14.1930	0.2018	0.5684	nan
8	0.00019686	14.6506	0.2060	0.5158	nan
9	0.00019603	13.9405	0.2066	0.5211	nan
10	0.00019511	14.4818	0.2088	0.5211	nan
11	0.00019409	14.6625	0.2062	0.5421	nan
12	0.00019298	14.1799	0.2057	0.5158	nan
13	0.00019178	13.2974	0.2093	0.5263	nan
14	0.00019048	15.0304	0.2131	0.5263	nan
15	0.00018910	14.5765	0.2169	0.5211	nan
16	0.00018763	15.1669	0.2211	0.5158	nan
17	0.00018607	13.7137	0.2248	0.5000	nan
18	0.00018443	14.1797	0.2265	0.4789	nan
19	0.00018271	14.5849	0.2250	0.4789	nan
20	0.00018090	14.8139	0.2233	0.5053	nan
21	0.00017902	14.2048	0.2224	0.5053	nan
22	0.00017705	14.7190	0.2222	0.4947	nan
23	0.00017501	14.1681	0.2213	0.4789	nan
24	0.00017290	14.1745	0.2197	0.4842	nan
25	0.00017071	14.2634	0.2174	0.4789	nan
26	0.00016845	14.5184	0.2157	0.5000	nan
27	0.00016613	14.1181	0.2148	0.5000	nan
28	0.00016374	15.0485	0.2142	0.5105	nan
29	0.00016129	14.6484	0.2139	0.5105	nan
30	0.00015878	14.8324	0.2143	0.5053	nan
31	0.00015621	14.9614	0.2143	0.5158	nan
32	0.00015358	13.8946	0.2152	0.5316	nan
33	0.00015090	14.0209	0.2155	0.5316	nan
34	0.00014818	14.4483	0.2155	0.5263	nan
35	0.00014540	14.3888	0.2157	0.5316	nan
36	0.00014258	14.9245	0.2156	0.5316	nan
37	0.00013971	14.8489	0.2156	0.5211	nan
38	0.00013681	14.3673	0.2154	0.5158	nan
39	0.00013387	14.1978	0.2153	0.5158	nan
40	0.00013090	14.0560	0.2156	0.5211	nan
41	0.00012790	14.7964	0.2154	0.5211	nan
42	0.00012487	15.0755	0.2155	0.5263	nan
43	0.00012181	14.3945	0.2155	0.5368	nan
44	0.00011874	14.2367	0.2156	0.5368	nan
45	0.00011564	13.8354	0.2158	0.5421	nan
46	0.00011253	14.1170	0.2159	0.5421	nan
47	0.00010941	14.6639	0.2160	0.5421	nan
48	0.00010628	14.8797	0.2163	0.5368	nan
49	0.00010314	14.6120	0.2165	0.5421	nan
50	0.00010000	14.2636	0.2165	0.5421	nan
51	0.00009686	14.3761	0.2166	0.5421	nan
52	0.00009372	13.7901	0.2166	0.5368	nan
53	0.00009059	14.6491	0.2170	0.5316	nan
54	0.00008747	14.4513	0.2168	0.5421	nan
55	0.00008436	14.1412	0.2169	0.5316	nan
56	0.00008126	14.9421	0.2168	0.5368	nan
57	0.00007819	14.2260	0.2167	0.5368	nan
58	0.00007513	15.1795	0.2171	0.5316	nan
59	0.00007210	15.0002	0.2171	0.5316	nan
60	0.00006910	14.3777	0.2171	0.5263	nan
61	0.00006613	14.4118	0.2172	0.5263	nan
62	0.00006319	14.1558	0.2171	0.5263	nan
63	0.00006029	14.8700	0.2173	0.5263	nan
64	0.00005742	14.7564	0.2172	0.5263	nan
65	0.00005460	13.7915	0.2172	0.5263	nan
66	0.00005182	14.3955	0.2173	0.5263	nan
67	0.00004910	14.3860	0.2172	0.5263	nan
68	0.00004642	14.6936	0.2171	0.5263	nan
69	0.00004379	14.7424	0.2173	0.5263	nan
70	0.00004122	14.6131	0.2172	0.5263	nan
71	0.00003871	14.0741	0.2171	0.5263	nan
72	0.00003626	14.3240	0.2171	0.5263	nan
73	0.00003387	13.6015	0.2172	0.5263	nan
74	0.00003155	15.1925	0.2174	0.5263	nan
75	0.00002929	13.7217	0.2173	0.5263	nan
76	0.00002710	13.2843	0.2172	0.5263	nan
77	0.00002499	14.1673	0.2172	0.5263	nan
78	0.00002295	14.1373	0.2173	0.5263	nan
79	0.00002098	14.4948	0.2172	0.5263	nan
80	0.00001910	14.3719	0.2172	0.5263	nan
81	0.00001729	13.8095	0.2172	0.5263	nan
82	0.00001557	13.5811	0.2172	0.5263	nan
83	0.00001393	14.0842	0.2172	0.5263	nan
84	0.00001237	14.6194	0.2173	0.5263	nan
85	0.00001090	15.1090	0.2172	0.5263	nan
86	0.00000952	14.6239	0.2173	0.5263	nan
87	0.00000822	14.2241	0.2174	0.5263	nan
88	0.00000702	14.1733	0.2173	0.5263	nan
89	0.00000591	14.4781	0.2173	0.5263	nan
90	0.00000489	14.0890	0.2173	0.5263	nan
91	0.00000397	14.0848	0.2173	0.5263	nan
92	0.00000314	13.8710	0.2173	0.5263	nan
93	0.00000241	14.8269	0.2172	0.5263	nan
94	0.00000177	14.3528	0.2173	0.5263	nan
95	0.00000123	14.3172	0.2174	0.5263	nan
96	0.00000079	14.7081	0.2173	0.5263	nan
97	0.00000044	14.3482	0.2174	0.5263	nan
98	0.00000020	14.0126	0.2173	0.5263	nan
99	0.00000005	14.2326	0.2173	0.5263	nan
