Metadata_broad_sample,Metadata_pert_iname,Metadata_pert_iname2,Metadata_moa,Metadata_target
BRD-A01078468-001-04-9,hexestrol,hexestrol,synthetic estrogen,"AKR1C1, ESR1, ESR2"
BRD-A01320529-001-05-9,salmeterol,salmeterol,adrenergic receptor agonist,ADRB2
BRD-A01593789-001-01-5,chlormadinone-acetate,chlormadinone acetate,5 alpha reductase inhibitor,PGR
BRD-A01636364-003-04-5,bupivacaine,bupivacaine,sodium channel blocker,"KCNA5, PTGER1, SCN10A, SCN4A"
BRD-A01787639-003-08-6,naftopidil,naftopidil,adrenergic receptor antagonist,ADRA1A
BRD-A02006392-001-06-5,nitrendipine,nitrendipine,calcium channel blocker,"CACNA1C, CACNA1D, CACNA1H, CACNA1S, CACNA2D1, CACNA2D2, CACNB2, CACNG1, KCNN4"
BRD-A02710418-003-03-5,meptazinol,meptazinol,opioid receptor agonist,BCHE
BRD-A02713983-001-02-0,NA,dihydrodeoxygedunin,growth factor receptor activator,NTRK2
BRD-A03816571-001-01-0,CP-55940,BRD-A03816571,cannabinoid receptor agonist|CC chemokine receptor antagonist,"CNR1, CNR2, CXCR4. GPR55"
BRD-A04322457-003-03-9,isoprenaline,isoprenaline,adrenergic receptor agonist,"ADRB1, ADRB2, ADRB3, MAPK1, PIK3R1, PIK3R2, PIK3R3"
BRD-A04438777-001-01-4,NA,SKF 82958,dopamine receptor agonist,NA
BRD-A04553218-050-03-0,chlorphenamine,chlorphenamine,histamine receptor antagonist,"HRH1, SLC6A2, SLC6A3, SLC6A4"
BRD-A05186015-003-04-0,bupropion,bupropion,dopamine uptake inhibitor,"CHRNA3, SLC6A2, SLC6A3"
BRD-A06352508-001-02-9,SB-218078,SB 218078,CHK inhibitor,CHEK1
BRD-A06935312-001-02-7,fusidic-acid,fusidic acid,bacterial 30S ribosomal subunit inhibitor,
BRD-A07207424-001-04-1,Ro-20-1724,RO-20-1724,phosphodiesterase inhibitor,"PDE3A, PDE4A, PDE4B, PDE4C, PDE4D"
BRD-A07824748-001-02-6,NA,flavanone,11-beta hydroxysteroid dehydrogenase inhibitor,"ADORA3, HSD11B1"
BRD-A07875874-001-01-6,cilnidipine,BRD-A07875874,calcium channel blocker,"CACNA1B, CACNA1C"
BRD-A07932845-001-01-1,metitepine,metitepine,anti-HCVE2,"HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR5A, HTR6, HTR7"
BRD-A07952294-001-02-3,NA,L-744832,farnesyltransferase inhibitors,NA
BRD-A08187463-001-03-8,racecadotril,racecadotril,enkephalinase inhibitor,MME
BRD-A08709697-001-02-9,NA,heliotrine,pyrrolizidine alkaloid,NA
BRD-A09094913-001-02-3,strychnine,strychnine,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA10, CHRNA9, GLRA1, GLRA2, GLRA3, GLRB"
BRD-A09161221-001-01-9,NA,nomilin hydrochloride,HSP inhibitor,NA
BRD-A09349126-001-02-4,norethindrone-acetate,norethindrone acetate,progesterone receptor agonist,
BRD-A09467419-003-04-2,mebeverine,mebeverine,acetylcholine receptor antagonist,CHRM1
BRD-A09533288-001-02-7,verapamil,verapamil,calcium channel blocker,"CACNA1A, CACNA1B, CACNA1C, CACNA1D, CACNA1F, CACNA1G, CACNA1I, CACNA1S, CACNB1, CACNB2, CACNB3, CACNB4, CYP3A4, KCNA10, KCNA7, KCNH2, KCNJ11, NALCN, SCN5A, SLC29A4, SLC6A4"
BRD-A10070317-003-05-1,propranolol,propranolol,adrenergic receptor antagonist,
BRD-A10739734-003-01-5,efaroxan,efaroxan,adrenergic receptor antagonist,ADORA2A
BRD-A11609859-303-01-2,NA,BRD-A11609859,opioid receptor agonist,"OPRD1, OPRK1, OPRM1"
BRD-A11678676-001-02-6,wortmannin,wortmannin,PI3K inhibitor,"PI4KA, PI4KB, PIK3CA, PIK3CD, PIK3CG, PIK3R1, PLK1, PRKDC"
BRD-A14566392-004-03-5,scopolamine,BRD-A14566392,acetylcholine receptor antagonist,"CHRM2, CHRM1, CHRM3, CHRM4, CHRM"
BRD-A15034104-002-03-6,bergenin,bergenin,interleukin inhibitor,"IL1B, TNF"
BRD-A15070535-323-02-1,bucladesine,bucladesine,adenosine receptor agonist|cAMP stimulant,PRKACA
BRD-A15415227-003-01-1,GW-1929,BRD-A15415227,PPAR receptor agonist,"INS, PPARG"
BRD-A15435692-003-01-5,BMY-14802,BRD-A15435692,sigma receptor antagonist|glutamate receptor antagonist|serotonin receptor agonist,"HTR1A, SIGMAR1"
BRD-A15530910-001-01-3,SDZ-21009,BRD-A15530910,adrenergic receptor antagonist|serotonin receptor antagonist,NA
BRD-A15914070-001-01-5,4-hydroxy-2-nonenal,BRD-A15914070,cytotoxic lipid peroxidation product,IKBKB
BRD-A16694057-001-02-7,BADGE,BADGE,PPAR receptor antagonist,PPARG
BRD-A17065207-001-06-9,brefeldin-a,BRD-A17065207,protein synthesis inhibitor,"ARF1, ARFGEF1, ARFGEF2, CYTH2, GBF1, SAR1A"
BRD-A18043272-001-03-2,phensuximide,phensuximide,succinimide antiepileptic,"CACNA1G, CACNA1H, CACNA1I"
BRD-A18497530-001-04-6,NA,5-iodotubercidin,adenosine kinase inhibitor|nucleoside transporter inhibitor,"MAPK3, ADK, CSNK1G2, GSG2, LRRK2"
BRD-A18696154-003-11-9,idazoxan,idazoxan,adrenergic receptor antagonist,ADRA2A
BRD-A20348246-001-04-2,chlormezanone,chlormezanone,GABA receptor modulator,"GABRA1, TSPO"
BRD-A20968261-001-01-3,WAY-213613,BRD-A20968261,glutamate transporter inhibitor,SLC1A2
BRD-A22305049-003-04-5,benfluorex,benfluorex,gluconeogenesis inhibitor,HMGCR
BRD-A22684332-003-02-3,procaterol,procaterol,adrenergic receptor agonist,ADRB2
BRD-A22707317-001-02-5,SB-205384,BRD-A22707317,GABA receptor modulator,"GABRA3, GABRA5, GABRA6"
BRD-A22783572-065-01-3,vinblastine,BRD-A22783572,microtubule formation inhibitor|tubulin inhibitor|tubulin polymerisation inhibitor,"JUN, TUBA1A, TUBB, TUBD1, TUBE1, TUBG1"
BRD-A23034328-003-03-4,clindamycin,clindamycin,protein synthesis inhibitor,
BRD-A23226398-001-02-7,estradiol,BRD-A23226398,estrogen receptor agonist,"CYP2B6, CYP2C19, CYP2C8, CYP2E1, CYP3A5, CYP3A7, ESR1, ESR2, GPER1, KCNMA1, NR1I2"
BRD-A23683907-334-01-0,NAS-181,BRD-A23683907,serotonin receptor antagonist,HTR1B
