Metadata_Plate,Metadata_Well,Metadata_broad_sample,Metadata_moa
24280,a01,BRD-K78364995-236-03-5,bacterial cell wall synthesis inhibitor
24280,a03,BRD-K78485176-001-02-9,angiotensin receptor antagonist
24280,a05,BRD-K78599730-001-02-6,farnesyltransferase inhibitor|NFkB pathway inhibitor|ras farnesyltransferase inhibitor
24280,a07,BRD-K78633253-001-01-2,ARF inhibitor
24280,a08,BRD-K78637815-001-01-4,cannabinoid receptor antagonist
24280,a09,BRD-K78643075-001-03-3,dopamine receptor antagonist
24280,a10,BRD-K78692225-001-11-2,dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor
24280,a11,BRD-K78815826-001-04-7,cyclooxygenase inhibitor
24280,a12,BRD-K78838262-001-02-4,hypolipidemic
24280,a16,BRD-K78959463-001-02-5,calcium channel activator
24280,a18,BRD-K79092138-001-04-5,POXB inhibitor|bacterial DNA inhibitor
24280,a19,BRD-K79116891-003-03-7,sodium channel blocker
24280,a20,BRD-K79124250-001-03-0,radiopaque medium
24280,a21,BRD-K79131256-001-03-9,tubulin polymerization inhibitor
24280,a22,BRD-K79145749-001-01-8,norepinephrine reputake inhibitor
24280,a24,BRD-K79366068-236-01-5,NTPDase inhibitor
24280,b01,BRD-K79425933-001-03-6,dopamine receptor antagonist
24280,b02,BRD-K79437791-001-02-4,Inhibitor of methylation of endogenous isoprenylated proteins
24280,b03,BRD-K79501723-003-03-4,histamine receptor modulator
24280,b04,BRD-K79684402-300-01-0,dopamine receptor partial agonist
24280,b05,BRD-K79711234-001-04-3,bacterial 50S ribosomal subunit inhibitor
24280,b06,BRD-K79759585-001-02-1,phosphodiesterase inhibitor
24280,b07,BRD-K79930101-300-01-1,EGFR inhibitor|epidermal growth factor receptor (EGFR) inhibitor|ErbB2 tyrosine kinase inhibitor|receptor tyrosine protein kinase inhibitor
24280,b09,BRD-K80315159-051-01-2,histamine receptor antagonist
24280,b12,BRD-K80334323-001-03-5,progestogen hormone
24280,b15,BRD-K80353807-001-03-0,vasodilator
24280,b16,BRD-K80396088-001-03-9,Sulfonylurea
24280,b17,BRD-K80451230-051-01-8,acetylcholine receptor antagonist
24280,b19,BRD-K80639402-003-01-1,serotonin receptor antagonist
24280,b20,BRD-K80725821-300-01-1,serotonin receptor antagonist
24280,b21,BRD-K80738081-001-06-2,cytochrome P450 inhibitor|SIRT activator
24280,b22,BRD-K80778372-001-01-7,GABA benzodiazepine site receptor inverse agonist
24280,b24,BRD-K80946661-001-02-8,p53 activator
24280,c01,BRD-K80970344-201-02-9,NFkB pathway inhibitor
24280,c02,BRD-K81029756-001-02-8,L-type calcium channel blocker|calcium channel antagonist|calcium channel blocker
24280,c04,BRD-K81209159-001-02-9,Acetylcholinesterase inhibitor
24280,c05,BRD-K81209512-001-01-3,EGFR inhibitor|epidermal growth factor receptor (EGFR) inhibitor|tyrosine kinase inhibitor
24280,c06,BRD-K81225797-001-01-5,adenosine receptor antagonist
24280,c07,BRD-K81272440-001-02-6,calcium channel blocker
24280,c09,BRD-K81376179-001-01-4,FLT3 inhibitor
24280,c14,BRD-K81709173-001-03-8,glucocorticoid receptor agonist
24280,c17,BRD-K81729199-001-01-0,acetylcholine receptor antagonist
24280,c20,BRD-K81839095-001-02-0,Estrogen receptor agonist
24280,c21,BRD-K81876028-300-01-2,Serotonin receptor agonist
24280,c23,BRD-K82103381-003-03-7,vasodilator
24280,d03,BRD-K82255054-001-04-3,GABA receptor agonist
24280,d04,BRD-K82484965-003-02-7,dopamine receptor agonist
24280,d05,BRD-K82561139-001-01-9,casein kinase inhibitor
24280,d06,BRD-K82562631-236-02-0,Cyclooxygenase inhibitor
24280,d07,BRD-K82577285-001-01-7,Dopamine receptor agonist
24280,d08,BRD-K82731415-001-04-7,CDK inhibitor
24280,d09,BRD-K82795137-001-02-3,Histamine receptor antagonist
24280,d10,BRD-K82823076-001-01-8,GABA benzodiazepine site receptor inverse agonist
24280,d13,BRD-K82846253-001-03-0,Insulin secretagogue
24280,d14,BRD-K82865713-001-02-6,cAMP inhibitor
24280,d17,BRD-K83023055-001-01-9,Melatonin receptor agonist
24280,d19,BRD-K83063356-003-01-7,CC chemokine receptor antagonist|CCR antagonist
24280,d23,BRD-K83302049-001-01-6,Histamine receptor antagonist
24280,d24,BRD-K83322645-103-01-6,sigma receptor antagonist|sigma receptor ligand
24280,e04,BRD-K83459933-001-02-1,angiogenesis inhibitor
24280,e05,BRD-K83508485-001-01-9,tachykinin antagonist
24280,e06,BRD-K83597974-003-05-7,Monoamine oxidase inhibitor
24280,e07,BRD-K83637872-001-01-7,Smoothened receptor antagonist
24280,e08,BRD-K84175871-003-02-2,Adrenergic receptor agonist
24280,e12,BRD-K84266862-001-01-6,phosphodiesterase inhibitor
24280,e13,BRD-K84421793-001-01-1,dopamine receptor agonist
24280,e14,BRD-K84595254-001-03-0,ATPase inhibitor
24280,e15,BRD-K84663978-001-02-3,phosphodiesterase inhibitor|platelet aggregation inhibitor|potassium channel blocker
24280,e16,BRD-K84709232-001-02-6,lipoxygenase inhibitor|HIV integrase inhibitor|NFkB pathway inhibitor|nitric oxide production inhibitor|PPAR receptor modulator|tumor necrosis factor production inhibitor
24280,e20,BRD-K85090592-003-08-7,Acetylcholine receptor agonist
24280,e22,BRD-K85119730-001-06-5,ATP channel blocker
24280,e23,BRD-K85242180-001-01-1,"indoleamine 2,3-dioxygenase inhibitor"
24280,e24,BRD-K85266041-304-01-7,glutamate receptor antagonist
24280,f04,BRD-K85383046-001-02-5,chloride channel blocker
24280,f06,BRD-K85871428-001-01-9,p38 MAPK inhibitor
24280,f11,BRD-K85883481-001-02-6,glucocorticoid receptor agonist
24280,f12,BRD-K86204871-001-02-2,sterol demethylase inhibitor
24280,f13,BRD-K86301799-001-14-0,phosphodiesterase inhibitor
24280,f14,BRD-K86434416-001-02-7,Monoamine oxidase inhibitor
24280,f15,BRD-K84663978-001-03-1,phosphodiesterase inhibitor|platelet aggregation inhibitor|potassium channel blocker
24280,f16,BRD-K86509404-001-02-0,CDK inhibitor
24280,f19,BRD-K86600316-003-01-2,Adrenergic receptor antagonist
24280,f20,BRD-K86727142-001-06-6,HCV inhibitor|XIAP inhibitor
24280,f21,BRD-K86873305-236-03-0,Bacterial cell wall synthesis inhibitor
24280,f22,BRD-K86882815-001-01-6,dopamine receptor agonist|prolactin inhibitor|prolactin secretion inhibitor
24280,f23,BRD-K86958018-001-01-9,TRPV agonist
24280,f24,BRD-K87048468-003-01-9,Serotonin receptor antagonist
24280,g01,BRD-K87049188-001-03-6,chelating agent|dopamine beta hydroxylase inhibitor
24280,g08,BRD-K87510569-001-01-0,CC chemokine receptor antagonist
24280,g09,BRD-K87696786-003-01-0,glutamate receptor antagonist
24280,g14,BRD-K87990216-001-03-7,Glucocorticoid receptor agonist
24280,g15,BRD-K87991767-001-02-0,carbonic anhydrase inhibitor|cyclooxygenase inhibitor
24280,g16,BRD-K88090157-050-03-3,antihistamine
24280,g21,BRD-K88282786-066-04-9,cannabinoid receptor agonist
24280,g22,BRD-K88358234-003-01-4,serotonin receptor agonist|nerve growth factor agonist|neurotrophic factor enhancer
24280,g23,BRD-K88366685-300-03-7,3-ketoacyl CoA thiolase inhibitor
24280,g24,BRD-K88405679-003-01-5,antihistamine
24280,h01,BRD-K88429204-001-04-7,dihydrofolate reductase inhibitor
24280,h02,BRD-K88544581-001-01-2,ACAT inhibitor
24280,h05,BRD-K88568253-065-02-1,monoamine oxidase inhibitor
24280,h06,BRD-K88611939-001-01-8,Glutamate receptor agonist
24280,h08,BRD-K88677950-001-01-3,MAP kinase inhibitor|MEK inhibitor
24280,h10,BRD-K88741031-001-01-0,EGFR inhibitor|tyrosine kinase inhibitor
24280,h11,BRD-K88743730-001-01-0,serotonin receptor partial agonist
24280,h12,BRD-K88759641-003-01-0,Angiotensin receptor antagonist
24280,h13,BRD-K88789588-001-03-2,aromatase inhibitor
24280,h14,BRD-K88809146-003-02-1,monoamine oxidase inhibitor
24280,h15,BRD-K88849294-001-02-1,Tyrosine phosphatase inhibitor
24280,h16,BRD-K88871508-001-01-9,Dopamine receptor agonist
24280,h18,BRD-K89046952-001-03-4,bacterial cell wall synthesis inhibitor
24280,h21,BRD-K89055274-048-03-7,muscle relaxant
24280,h22,BRD-K89085489-001-02-6,apoptosis stimulant|retinoid receptor agonist
24280,h23,BRD-K89125793-001-05-4,antiprotozoal agent
24280,h24,BRD-K89152108-001-03-3,thyroid hormone stimulant
24280,i01,BRD-K89210380-001-03-8,vitamin B
24280,i04,BRD-K89272762-001-04-4,chloride channel blocker
24280,i07,BRD-K89274813-001-01-5,acetylcholine release enhancer
24280,i08,BRD-K89375097-300-04-7,Acetylcholine receptor antagonist
24280,i09,BRD-K89402695-001-01-5,Thromboxane receptor antagonist
24280,i13,BRD-K89732114-001-02-6,dopamine receptor antagonist
24280,i14,BRD-K89923877-003-02-4,acetylcholine receptor antagonist
24280,i15,BRD-K89930444-001-01-9,tyrosine kinase inhibitor
24280,i16,BRD-K89997465-001-02-0,dopamine receptor antagonist
24280,i17,BRD-K90027355-001-03-4,mineralocorticoid receptor antagonist
24280,i23,BRD-K90259198-003-04-8,calmodulin antagonist|potassium channel blocker|squalene monooxygenase channel blocker
24280,i24,BRD-K90333595-001-02-8,adrenergic receptor antagonist
